year,region,state,gender,mode_of_trans,count
2015,Southeast,Alabama,male,drove_alone,899488
2015,Southeast,Alabama,male,carpooled,98364
2015,Southeast,Alabama,male,public_transportation,3437
2015,Southeast,Alabama,male,bicycle,1263
2015,Southeast,Alabama,male,walked,12553
2015,Southeast,Alabama,male,taxicab_or_other,11193
2015,West,Alaska,male,drove_alone,137499
2015,West,Alaska,male,carpooled,23332
2015,West,Alaska,male,public_transportation,3773
2015,West,Alaska,male,bicycle,2779
2015,West,Alaska,male,walked,17325
2015,West,Alaska,male,taxicab_or_other,12071
2015,Southwest,Arizona,male,drove_alone,1191360
2015,Southwest,Arizona,male,carpooled,164207
2015,Southwest,Arizona,male,public_transportation,33728
2015,Southwest,Arizona,male,bicycle,21326
2015,Southwest,Arizona,male,walked,32453
2015,Southwest,Arizona,male,taxicab_or_other,32193
2015,Southeast,Arkansas,male,drove_alone,545804
2015,Southeast,Arkansas,male,carpooled,72220
2015,Southeast,Arkansas,male,public_transportation,2746
2015,Southeast,Arkansas,male,bicycle,1120
2015,Southeast,Arkansas,male,walked,12190
2015,Southeast,Arkansas,male,taxicab_or_other,10106
2015,West,California,male,drove_alone,7160262
2015,West,California,male,carpooled,954632
2015,West,California,male,public_transportation,468002
2015,West,California,male,bicycle,140337
2015,West,California,male,walked,255551
2015,West,California,male,taxicab_or_other,177108
2015,West,Colorado,male,drove_alone,1133055
2015,West,Colorado,male,carpooled,126568
2015,West,Colorado,male,public_transportation,43075
2015,West,Colorado,male,bicycle,22064
2015,West,Colorado,male,walked,44910
2015,West,Colorado,male,taxicab_or_other,17985
2015,Northeast,Connecticut,male,drove_alone,715340
2015,Northeast,Connecticut,male,carpooled,74250
2015,Northeast,Connecticut,male,public_transportation,47375
2015,Northeast,Connecticut,male,bicycle,3153
2015,Northeast,Connecticut,male,walked,27927
2015,Northeast,Connecticut,male,taxicab_or_other,7432
2015,Northeast,Delaware,male,drove_alone,183804
2015,Northeast,Delaware,male,carpooled,16891
2015,Northeast,Delaware,male,public_transportation,5587
2015,Northeast,Delaware,male,bicycle,1337
2015,Northeast,Delaware,male,walked,5219
2015,Northeast,Delaware,male,taxicab_or_other,1658
2015,Southeast,Florida,male,drove_alone,3662643
2015,Southeast,Florida,male,carpooled,423235
2015,Southeast,Florida,male,public_transportation,95382
2015,Southeast,Florida,male,bicycle,47758
2015,Southeast,Florida,male,walked,70687
2015,Southeast,Florida,male,taxicab_or_other,84949
2015,Southeast,Georgia,male,drove_alone,1874722
2015,Southeast,Georgia,male,carpooled,250875
2015,Southeast,Georgia,male,public_transportation,51027
2015,Southeast,Georgia,male,bicycle,6694
2015,Southeast,Georgia,male,walked,38154
2015,Southeast,Georgia,male,taxicab_or_other,37653
2015,West,Hawaii,male,drove_alone,272832
2015,West,Hawaii,male,carpooled,46293
2015,West,Hawaii,male,public_transportation,21088
2015,West,Hawaii,male,bicycle,4880
2015,West,Hawaii,male,walked,16779
2015,West,Hawaii,male,taxicab_or_other,10367
2015,West,Idaho,male,drove_alone,304467
2015,West,Idaho,male,carpooled,41596
2015,West,Idaho,male,public_transportation,4210
2015,West,Idaho,male,bicycle,3862
2015,West,Idaho,male,walked,13952
2015,West,Idaho,male,taxicab_or_other,6359
2015,Midwest,Illinois,male,drove_alone,2366545
2015,Midwest,Illinois,male,carpooled,252417
2015,Midwest,Illinois,male,public_transportation,288950
2015,Midwest,Illinois,male,bicycle,28951
2015,Midwest,Illinois,male,walked,98226
2015,Midwest,Illinois,male,taxicab_or_other,37702
2015,Midwest,Indiana,male,drove_alone,1343533
2015,Midwest,Indiana,male,carpooled,140456
2015,Midwest,Indiana,male,public_transportation,16660
2015,Midwest,Indiana,male,bicycle,10247
2015,Midwest,Indiana,male,walked,37932
2015,Midwest,Indiana,male,taxicab_or_other,16845
2015,Midwest,Iowa,male,drove_alone,667001
2015,Midwest,Iowa,male,carpooled,73904
2015,Midwest,Iowa,male,public_transportation,11230
2015,Midwest,Iowa,male,bicycle,7099
2015,Midwest,Iowa,male,walked,29116
2015,Midwest,Iowa,male,taxicab_or_other,9680
2015,Midwest,Kansas,male,drove_alone,628315
2015,Midwest,Kansas,male,carpooled,64448
2015,Midwest,Kansas,male,public_transportation,4081
2015,Midwest,Kansas,male,bicycle,3480
2015,Midwest,Kansas,male,walked,18886
2015,Midwest,Kansas,male,taxicab_or_other,9306
2015,Southeast,Kentucky,male,drove_alone,814500
2015,Southeast,Kentucky,male,carpooled,103951
2015,Southeast,Kentucky,male,public_transportation,11085
2015,Southeast,Kentucky,male,bicycle,2481
2015,Southeast,Kentucky,male,walked,26807
2015,Southeast,Kentucky,male,taxicab_or_other,12846
2015,Southeast,Louisiana,male,drove_alone,855423
2015,Southeast,Louisiana,male,carpooled,95922
2015,Southeast,Louisiana,male,public_transportation,14898
2015,Southeast,Louisiana,male,bicycle,7864
2015,Southeast,Louisiana,male,walked,24334
2015,Southeast,Louisiana,male,taxicab_or_other,17860
2015,Northeast,Maine,male,drove_alone,253741
2015,Northeast,Maine,male,carpooled,30733
2015,Northeast,Maine,male,public_transportation,2079
2015,Northeast,Maine,male,bicycle,1259
2015,Northeast,Maine,male,walked,13495
2015,Northeast,Maine,male,taxicab_or_other,4711
2015,Northeast,Maryland,male,drove_alone,1140480
2015,Northeast,Maryland,male,carpooled,140095
2015,Northeast,Maryland,male,public_transportation,129427
2015,Northeast,Maryland,male,bicycle,6392
2015,Northeast,Maryland,male,walked,42827
2015,Northeast,Maryland,male,taxicab_or_other,17489
2015,Northeast,Massachusetts,male,drove_alone,1242171
2015,Northeast,Massachusetts,male,carpooled,128067
2015,Northeast,Massachusetts,male,public_transportation,178632
2015,Northeast,Massachusetts,male,bicycle,17938
2015,Northeast,Massachusetts,male,walked,81963
2015,Northeast,Massachusetts,male,taxicab_or_other,23912
2015,Midwest,Michigan,male,drove_alone,1910222
2015,Midwest,Michigan,male,carpooled,205300
2015,Midwest,Michigan,male,public_transportation,30247
2015,Midwest,Michigan,male,bicycle,13667
2015,Midwest,Michigan,male,walked,54239
2015,Midwest,Michigan,male,taxicab_or_other,23281
2015,Midwest,Minnesota,male,drove_alone,1169312
2015,Midwest,Minnesota,male,carpooled,121430
2015,Midwest,Minnesota,male,public_transportation,47830
2015,Midwest,Minnesota,male,bicycle,16003
2015,Midwest,Minnesota,male,walked,40766
2015,Midwest,Minnesota,male,taxicab_or_other,15810
2015,Southeast,Mississippi,male,drove_alone,527386
2015,Southeast,Mississippi,male,carpooled,56582
2015,Southeast,Mississippi,male,public_transportation,1571
2015,Southeast,Mississippi,male,bicycle,877
2015,Southeast,Mississippi,male,walked,11314
2015,Southeast,Mississippi,male,taxicab_or_other,9726
2015,Midwest,Missouri,male,drove_alone,1205280
2015,Midwest,Missouri,male,carpooled,130270
2015,Midwest,Missouri,male,public_transportation,21440
2015,Midwest,Missouri,male,bicycle,4189
2015,Midwest,Missouri,male,walked,30454
2015,Midwest,Missouri,male,taxicab_or_other,18971
2015,West,Montana,male,drove_alone,188832
2015,West,Montana,male,carpooled,27213
2015,West,Montana,male,public_transportation,1809
2015,West,Montana,male,bicycle,5092
2015,West,Montana,male,walked,16097
2015,West,Montana,male,taxicab_or_other,3577
2015,Midwest,Nebraska,male,drove_alone,422845
2015,Midwest,Nebraska,male,carpooled,45011
2015,Midwest,Nebraska,male,public_transportation,3894
2015,Midwest,Nebraska,male,bicycle,3861
2015,Midwest,Nebraska,male,walked,14280
2015,Midwest,Nebraska,male,taxicab_or_other,6283
2015,West,Nevada,male,drove_alone,554126
2015,West,Nevada,male,carpooled,72292
2015,West,Nevada,male,public_transportation,27408
2015,West,Nevada,male,bicycle,4701
2015,West,Nevada,male,walked,15805
2015,West,Nevada,male,taxicab_or_other,15024
2015,Northeast,New Hampshire,male,drove_alone,293472
2015,Northeast,New Hampshire,male,carpooled,27127
2015,Northeast,New Hampshire,male,public_transportation,3491
2015,Northeast,New Hampshire,male,bicycle,1438
2015,Northeast,New Hampshire,male,walked,10422
2015,Northeast,New Hampshire,male,taxicab_or_other,4673
2015,Northeast,New Jersey,male,drove_alone,1606576
2015,Northeast,New Jersey,male,carpooled,173963
2015,Northeast,New Jersey,male,public_transportation,270941
2015,Northeast,New Jersey,male,bicycle,10882
2015,Northeast,New Jersey,male,walked,74087
2015,Northeast,New Jersey,male,taxicab_or_other,37322
2015,Southwest,New Mexico,male,drove_alone,379289
2015,Southwest,New Mexico,male,carpooled,42256
2015,Southwest,New Mexico,male,public_transportation,3767
2015,Southwest,New Mexico,male,bicycle,3663
2015,Southwest,New Mexico,male,walked,11514
2015,Southwest,New Mexico,male,taxicab_or_other,5294
2015,Northeast,New York,male,drove_alone,2600640
2015,Northeast,New York,male,carpooled,322532
2015,Northeast,New York,male,public_transportation,1295921
2015,Northeast,New York,male,bicycle,45539
2015,Northeast,New York,male,walked,289646
2015,Northeast,New York,male,taxicab_or_other,62526
2015,Southeast,North Carolina,male,drove_alone,1922169
2015,Southeast,North Carolina,male,carpooled,241164
2015,Southeast,North Carolina,male,public_transportation,26400
2015,Southeast,North Carolina,male,bicycle,7531
2015,Southeast,North Carolina,male,walked,47947
2015,Southeast,North Carolina,male,taxicab_or_other,32580
2015,Midwest,North Dakota,male,drove_alone,184204
2015,Midwest,North Dakota,male,carpooled,18253
2015,Midwest,North Dakota,male,public_transportation,832
2015,Midwest,North Dakota,male,bicycle,586
2015,Midwest,North Dakota,male,walked,8983
2015,Midwest,North Dakota,male,taxicab_or_other,1691
2015,Midwest,Ohio,male,drove_alone,2322778
2015,Midwest,Ohio,male,carpooled,218691
2015,Midwest,Ohio,male,public_transportation,47360
2015,Midwest,Ohio,male,bicycle,10787
2015,Midwest,Ohio,male,walked,69140
2015,Midwest,Ohio,male,taxicab_or_other,29073
2015,Southwest,Oklahoma,male,drove_alone,764628
2015,Southwest,Oklahoma,male,carpooled,99153
2015,Southwest,Oklahoma,male,public_transportation,3280
2015,Southwest,Oklahoma,male,bicycle,3195
2015,Southwest,Oklahoma,male,walked,17561
2015,Southwest,Oklahoma,male,taxicab_or_other,13439
2015,West,Oregon,male,drove_alone,682855
2015,West,Oregon,male,carpooled,103085
2015,West,Oregon,male,public_transportation,43436
2015,West,Oregon,male,bicycle,30840
2015,West,Oregon,male,walked,38158
2015,West,Oregon,male,taxicab_or_other,13040
2015,Northeast,Pennsylvania,male,drove_alone,2392513
2015,Northeast,Pennsylvania,male,carpooled,272591
2015,Northeast,Pennsylvania,male,public_transportation,154185
2015,Northeast,Pennsylvania,male,bicycle,20227
2015,Northeast,Pennsylvania,male,walked,116117
2015,Northeast,Pennsylvania,male,taxicab_or_other,31299
2015,Northeast,Rhode Island,male,drove_alone,203218
2015,Northeast,Rhode Island,male,carpooled,27043
2015,Northeast,Rhode Island,male,public_transportation,8426
2015,Northeast,Rhode Island,male,bicycle,1710
2015,Northeast,Rhode Island,male,walked,9520
2015,Northeast,Rhode Island,male,taxicab_or_other,2793
2015,Southeast,South Carolina,male,drove_alone,911605
2015,Southeast,South Carolina,male,carpooled,111522
2015,Southeast,South Carolina,male,public_transportation,6025
2015,Southeast,South Carolina,male,bicycle,4022
2015,Southeast,South Carolina,male,walked,28308
2015,Southeast,South Carolina,male,taxicab_or_other,14956
2015,Midwest,South Dakota,male,drove_alone,182994
2015,Midwest,South Dakota,male,carpooled,19533
2015,Midwest,South Dakota,male,public_transportation,1608
2015,Midwest,South Dakota,male,bicycle,1635
2015,Midwest,South Dakota,male,walked,7375
2015,Midwest,South Dakota,male,taxicab_or_other,2416
2015,Southeast,Tennessee,male,drove_alone,1291507
2015,Southeast,Tennessee,male,carpooled,143778
2015,Southeast,Tennessee,male,public_transportation,13438
2015,Southeast,Tennessee,male,bicycle,1887
2015,Southeast,Tennessee,male,walked,20246
2015,Southeast,Tennessee,male,taxicab_or_other,23001
2015,Southwest,Texas,male,drove_alone,5556887
2015,Southwest,Texas,male,carpooled,696070
2015,Southwest,Texas,male,public_transportation,97299
